idoxatis;sku;nombre;stock;pvpventa;proveedor;ean;pvprecomendado;visible
26136290;70686;Aplique Sunset Faro blanco. Iluminación de exterior LED.;25;5930;FARO;8421776144408;98;1
26136297;70687;Aplique Sunset Faro gris oscuro. Iluminación de exterior LED.;25;5930;FARO;8421776144415;98;1
26137820;70827;Aplique Lur Faro gris oscuro. Iluminación de exterior LED.;25;7260;FARO;8421776144842;119,9;0
26137854;70829;Aplique Pol Faro gris oscuro. Iluminación de exterior LED.;25;6050;FARO;8421776144804;99,9;0
26141122;70824;Aplique Pill Faro blanco. Iluminación de exterior LED.;0;3660;FARO;8421776144811;60,4;0
26141132;70825;Aplique Pill Gris oscuro. Iluminación de exterior LED.;25;3660;FARO;8421776144828;60,4;0
26141136;70826;Aplique Pill Marrón oxido. Iluminación de exterior LED.;25;3660;FARO;8421776144835;60,4;0
26145930;70408;Aplique Brow Faro blanco. Iluminación de exterior LED.;25;1810;FARO;8421776149298;29,9;0
26145932;70409;Aplique Brow Faro gris oscuro. Iluminación de exterior LED.;25;1810;FARO;8421776149311;29,9;0
27334523;70659;Aplique Must Faro gris oscuro LED.;25;2530;FARO;8421776090705;41,8;1
27522866;29991;Aplique Sabana Faro lector - Izquierdo luz LED;25;8580;FARO;8421776062337;141,8;1
27522930;29992;Aplique Sabana Faro lector - Derecho luz LED;25;8580;FARO;8421776062344;141,8;1
27523046;29993;Aplique Sabana Faro - Pantalla textil;25;5440;FARO;8421776062351;89,9;1
27523061;29996;Aplique Lupe Faro lector - Pantalla - luz LED;0;7750;FARO;8421776088061;128;1
27523071;29995;Aplique Lupe Faro - Pantalla textil blanca;25;5460;FARO;8421776088054;90,2;1
27523095;29940;Aplique Hotel Faro - Pantalla blanca textil;25;3940;FARO;8421776044876;65;1
27523096;29945;Aplique Hotel Faro - Pantalla negra textil;25;3940;FARO;8421776044883;65;1
27523106;29941;Aplique Hotel Faro con Lector - Pantalla blanca textil;25;5930;FARO;8421776044890;98;1
27523107;29946;Aplique Hotel Faro con Lector - Pantalla negra textil;25;5930;FARO;8421776044906;98;1
27523187;20023;Aplique Volta Faro con Lector - Pantalla blanca textil;25;7340;FARO;8421776080850;121,3;1
27523234;20024;Aplique Volta Faro con Lector - Pantalla negra textil;0;7340;FARO;8421776080928;121,3;1
27523241;20022;Aplique Volta Faro - Pantalla negra textil;25;4780;FARO;8421776080843;78,9;1
27523246;20021;Aplique Volta Faro - Pantalla blanca textil;25;4780;FARO;8421776080836;78,9;1
27523258;29976;Aplique Room Faro con Lector - Pantalla blanca textil;25;5300;FARO;8421776081840;87,5;1
27523302;29977;Aplique Room Faro con Lector - Pantalla negra textil;25;5300;FARO;8421776081857;87,5;1
27523309;29974;Aplique Room Faro - Pantalla blanca textil;25;4060;FARO;8421776081826;67;1
27523313;29975;Aplique Room Faro - Pantalla negro textil;25;4060;FARO;8421776081833;67;1
27523322;29329;Aplique Berni Faro blanco Lector - Pantalla blanca textil;25;6020;FARO;8421776089501;99,5;1
27523329;29330;Aplique Berni Faro negro Lector - Pantalla negra textil;25;6020;FARO;8421776089518;99,5;1
27523351;29331;Aplique Berni Faro niquel Lector - Pantalla blanca textil;25;6540;FARO;8421776091290;108,05;1
27523357;29326;Aplique Berni Faro blanco - Pantalla blanca textil;25;4350;FARO;8421776089488;71,75;1
27525389;29327;Aplique Berni Faro negro - Pantalla negra textil;25;4350;FARO;8421776089495;71,75;1
27525408;29328;Aplique Berni Faro niquel - Pantalla blanca textil;25;4690;FARO;8421776091283;77,4;1
27683239;29948;Lampara de pie Hotel Faro - Pantalla negra textil;25;13250;FARO;8421776044968;219;1
27683253;29949;Lampara Hotel Faro - Colgante Pantalla negra textil;25;10470;FARO;8421776044944;173;1
27901636;74141;Baliza Block Faro - Baliza cemento altura 35cm.;0;12040;FARO;8421776168855;199;0
27901639;74142;Baliza Block Faro - Baliza cemento altura 70cm.;25;18030;FARO;8421776168862;298;0
27901705;71225;Baliza Lotus Faro - Baliza luz LED altura 65cm.;25;12410;FARO;8421776167452;205;0
27901707;71224;Baliza Lotus Faro - Baliza luz LED altura 35cm.;25;10410;FARO;8421776167438;172;0
27901723;71286;Baliza Twist Faro - Baliza luz LED altura 30cm.;25;8470;FARO;8421776167377;140;0
27901725;71287;Baliza Twist Faro - Baliza luz LED altura 50cm.;25;10230;FARO;8421776167391;169;0
27901730;75541;Baliza Sticker - Baliza luz LED altura 72cm.;25;12170;FARO;8421776118409;201,05;0
27901732;75530;Baliza Tram Faro - Baliza exterior altura 43cm.;0;7560;FARO;8421776088559;99,9;0
27901733;75531;Baliza Tram Faro - Baliza exterior altura 63cm.;25;7250;FARO;8421776088566;119,8;0
27901756;75538;Baliza Shelby - Baliza luz LED altura 63cm.;25;11040;FARO;8421776089068;182,4;1
27901762;75537;Baliza Shelby - Baliza luz LED altura 33cm.;25;9730;FARO;8421776089051;160,8;0
27901768;74442;Baliza Datna Faro - iluminacion exterior suelo 60cm.;25;8350;FARO;8421776040793;137,9;0
27902003;75604;Baliza Muga - Baliza exterior luz LED altura 50cm.;25;9130;FARO;8421776116535;150,9;0
27902011;75603;Baliza Muga - Baliza exterior luz LED altura 29,5cm.;25;7680;FARO;8421776116528;126,8;0
27902012;70767;Baliza Giza Faro - Baliza exterior luz LED altura 26,5cm.;25;8900;FARO;8421776078116;147,1;0
27902017;70768;Baliza Giza Faro - Baliza exterior luz LED altura 65cm.;25;10980;FARO;8421776078123;181,4;0
27902020;75522;Baliza Beret Faro - Baliza exterior luz LED altura 50m.;25;6610;FARO;8421776065734;109,1;0
27902021;75523;Baliza Beret Faro - Baliza exterior luz LED altura 90m.;25;8110;FARO;8421776065741;133,9;0
27902022;75600;Baliza Grop Faro - Baliza exterior luz LED altura 75m.;25;10670;FARO;8421776116511;176,2;0
27902024;75601;Baliza Grop Faro - Baliza exterior luz LED altura 125m.;25;17250;FARO;8421776116498;285;0
27902026;71216;Baliza Nanda Faro - Baliza exterior luz LED altura 50m.;25;7450;FARO;8421776116474;123;0
27902029;71217;Baliza Nanda Faro - Baliza exterior luz LED altura 80m.;25;9870;FARO;8421776116481;163;0
27902030;75605;Baliza Logar Faro - Baliza exterior luz LED altura 65m.;25;8610;FARO;8421776144941;142,3;0
27902031;75606;Baliza Logar Faro - Baliza exterior luz LED altura 90m.;25;11970;FARO;8421776144972;194,8;0
27902035;74433+74437;Sobremuro Moon Faro - iluminacion exterior suelo 30cm.;0;;FARO;8421776022744;70,8;0
27902038;74434+74437;Baliza Moon Faro - iluminacion exterior suelo 61cm.;0;;FARO;8421776022751;91,4;0
27902060;74433+74430;Sobremuro Blub-s Faro - iluminacion exterior suelo 24cm.;0;;FARO;8421776022744;85,4;0
27902064;74433+74430;Baliza Blub-s Faro - iluminacion exterior suelo 54cm.;0;;FARO;8421776022744;106;0
27902066;74434+74429;Baliza Muffin Faro - iluminacion exterior suelo 56cm.;0;;FARO;8421776022751;99,7;0
27902067;74433+74429;Sobremuro Muffin Faro - iluminacion exterior suelo 26cm.;0;;FARO;8421776022744;79,1;0
27902069;74433+74428;Sobremuro Mistu Faro - iluminacion exterior suelo 31cm.;0;;FARO;8421776022744;63,3;0
27902070;74434+74428;Baliza Mistu Faro - iluminacion exterior suelo 60cm.;0;;FARO;8421776022744;83,9;0
27902088;75001;Sobremuro Wilma Faro - iluminacion exterior altura 27cm;25;7020;FARO;8421776021778;115,9;0
