referencia;precio
6383;64,60 
6384;105,20 
6385;105,80 
5490;184,46 
5491;74,46 
5511;77,85 
5512;209,85 
6043;77,88 
4942;324,17 
4945;163,33 
4948;113,78 
4950;112,34 
7150;158,20 
7151;262,14 
7152;166,78 
7240;49,90 
7241;49,90 
7130;240,22 
7131;151,08 
7132;130,44 
7133;135,68 
7134;135,18 
7135;146,70 
7136;337,60 
7137;169,40 
7138;225,06 
6075;39,80 
6076;41,90 
6077;45,80 
6455;153,22 
3764;107,25 
4870;207,58 
6240;29,20 
6241;38,19 
6242;58,42 
6243;29,20 
6244;38,19 
6245;58,42 
5670;35,37 
5672;39,84 
5674;57,72 
5675;7,23 
3692;137,86 
5933;107,25 
6170;224,71 
6171;224,71 
6172;224,71 
6470;111,40 
5880;175,50 
5881;234,00 
6770;101,90 
6771;114,80 
6772;127,60 
6773;148,40 
6774;114,80 
6175;449,32 
6176;266,89 
6177;182,43 
6178;167,57 
6179;125,78 
6180;93,24 
6181;96,62 
6182;290,55 
6410;120,27 
6411;234,46 
6412;124,32 
6413;72,98 
6414;46,62 
5400;260,96 
5401;236,20 
5402;89,76 
5403;72,21 
5801;259,84 
5802;293,58 
5816;93,81 
5817;241,61 
5818;286,17 
6612;324,46 
4860;226,09 
4861;232,84 
4862;91,11 
4863;80,99 
4864;253,10 
4865;273,33 
4866;296,95 
4867;100,56 
5815;298,98 
6280;78,22 
6281;57,23 
6282;38,64 
6283;17,11 
6284;22,79 
6717;26,32 
6710;78,22 
6711;57,23 
6712;38,64 
6713;17,11 
6714;22,79 
6718;26,32 
6452;152,30 
6453;197,67 
C0180;11,80 
C0181;16,40 
C0182;22,90 
C0183;29,10 
C0184;11,80 
C0185;16,40 
C0186;22,90 
C0187;29,10 
C0190;12,40 
C0191;16,70 
C0192;23,50 
C0193;29,80 
C0194;12,40 
C0195;16,70 
C0196;23,50 
C0197;29,80 
6620;17,04 
6621;17,04 
6622;24,30 
6623;24,30 
6624;33,26 
6625;33,26 
6626;44,36 
6627;44,36 
6628;18,10 
6629;18,10 
6630;25,58 
6631;25,58 
6632;35,82 
6633;35,82 
