"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
29441273;33753;Ventilador Tabarca Faro - Gris 132cm. ?;30;0.00;225,00;8421776166509
29507924;33472N+33472K;Ventilador Nias + Kit de luz LED FARO - Motor DC. 132cm. ?;30;0.00;521,60;
29828549;33489;Ventilador Typhoon FARO Gris - IP44. 130cm. ?;30;0.00;535,00;8421776167247
29828554;33490;Ventilador Typhoon FARO Marron - IP44. 130cm. ?;30;0.00;535,00;8421776167254
29828968;33424;Ventilador Justfan FARO - Negro. Motor DC. 81cm. ?;0;266.00;445,00;8421776168398
29828976;33425;Ventilador Justfan FARO - Nogal. Motor DC. 81cm. ?;0;266.00;445,00;8421776167742
29828986;33426;Ventilador Justfan FARO - Transparente. Motor DC. 81cm. ?;30;0.00;445,00;8421776167759
29829084;33424+33391;Ventilador JustFan Negro Faro + Kit de luz 81cm.?;30;0.00;512,00;
29829276;33425+33391;Ventilador JustFan Nogal Faro + Kit de luz 81cm.?;30;0.00;512,00;
29829280;33426+33390;Ventilador JustFan Transparente Faro + Kit de luz 81cm.?;30;0.00;522,30;
29829433;33393;Ventilador Minitube FARO - Transparente. Motor DC. 128cm. ?;30;0.00;518,10;8421776082588
29829456;33395;Ventilador Justfan FARO - negro aspa nogal. Motor DC. 128cm. ?;30;0.00;475,00;8421776092099
29829688;33391;Kit de luz Marron ventilador de techo FARO;30;0.00;67,00;8421776023888
29829691;32039;Ventilador Mini Tube FARO - Blanco mate. Motor DC. 128cm. ?;0;301.00;518,10;8421776146716
29830057;33513;Kit de luz Ventilador Cies Faro;30;0.00;125,00;8421776166585
29830106;33489+33489K;Ventilador Typhoon FARO gris IP44 130cm ? + Kit de luz;30;0.00;631,50;
29830109;33490+33490K;Ventilador Typhoon FARO marron IP44 130cm ? + Kit de luz;30;0.00;631,50;
