TemplateType=Offer	Version=2014.0703																																																																																																																																																																																																																																																														
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
015-102022	21.56	20	8426107013781	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112276	21.56	20	8426107525253	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112353	21.56	5	8426107369666	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100952	22	20	8426107110091	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100953	22	20	8426107110022	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100954	22	5	8426107110053	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100955	22	5	8426107110107	EAN	NEW									3																																																																																																																																																																																																																																																		
015-111077	22.4	20	8426107006349	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101054	23	5	8426107154156	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101149	23	20	8426107012326	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101172	23	20	8426107655127	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101153	23.16	20	8426107655288	EAN	NEW									3																																																																																																																																																																																																																																																		
015-216002	23.16	20	8426107012685	EAN	NEW									3																																																																																																																																																																																																																																																		
015-216005	23.16	20	8426107012715	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101630	23.2	20	8426107015921	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101631	23.2	20	8426107015938	EAN	NEW									3																																																																																																																																																																																																																																																		
015-111078	23.2	20	8426107006356	EAN	NEW									3																																																																																																																																																																																																																																																		
015-111119	23.2	20	8426107353559	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112293	23.2	20	8426107747488	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112322	23.2	20	8426107015167	EAN	NEW									3																																																																																																																																																																																																																																																		
015-113952	23.2	20	8426107857460	EAN	NEW									3																																																																																																																																																																																																																																																		
015-113953	23.2	20	8426107857477	EAN	NEW									3																																																																																																																																																																																																																																																		
015-113954	23.2	20	8426107857484	EAN	NEW									3																																																																																																																																																																																																																																																		
015-113955	23.2	20	8426107857491	EAN	NEW									3																																																																																																																																																																																																																																																		
015-700200	23.2	20	8426107659781	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101074	23.4	20	8426107258397	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100770	23.96	20	8426107770103	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101194	23.96	20	8426107009470	EAN	NEW									3																																																																																																																																																																																																																																																		
015-102039	23.96	20	8426107011381	EAN	NEW									3																																																																																																																																																																																																																																																		
015-102094	23.96	20	8426107011374	EAN	NEW									3																																																																																																																																																																																																																																																		
015-110039	23.96	20	8426107009463	EAN	NEW									3																																																																																																																																																																																																																																																		
015-111770	23.96	20	8426107398567	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112324	23.96	20	8426107013668	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112419	23.96	20	8426107919175	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112420	23.96	20	8426107919168	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112915	23.96	20	8426107011442	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112916	23.96	20	8426107011435	EAN	NEW									3																																																																																																																																																																																																																																																		
015-120039	23.96	20	8426107009487	EAN	NEW									3																																																																																																																																																																																																																																																		
015-121194	23.96	20	8426107009494	EAN	NEW									3																																																																																																																																																																																																																																																		
015-209223	23.96	20	8426107105820	EAN	NEW									3																																																																																																																																																																																																																																																		
015-215005	23.96	5	8426107000002	EAN	NEW									3																																																																																																																																																																																																																																																		
015-215009	23.96	20	8426107004833	EAN	NEW									3																																																																																																																																																																																																																																																		
015-229300	23.96	20	8426107008909	EAN	NEW									3																																																																																																																																																																																																																																																		
015-266901	23.96	20	8426107101891	EAN	NEW									3																																																																																																																																																																																																																																																		
015-266925	23.96	20	8426107014740	EAN	NEW									3																																																																																																																																																																																																																																																		
015-105603	25.4	20	8426107005298	EAN	NEW									3																																																																																																																																																																																																																																																		
015-700202	25.6	20	8426107659767	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101265	26.36	20	8426107013934	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101266	26.36	20	8426107015204	EAN	NEW									3																																																																																																																																																																																																																																																		
015-210101	26.36	20	8426107013231	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112286	26.4	20	8426107009548	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112288	26.4	20	8426107009555	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263120	26.4	20	8426107015570	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263121	26.4	20	8426107015587	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263122	26.4	20	8426107015594	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263123	26.4	20	8426107015600	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263124	26.4	20	8426107015617	EAN	NEW									3																																																																																																																																																																																																																																																		
015-280001	27	5	8426107012906	EAN	NEW									3																																																																																																																																																																																																																																																		
